X,Y,OBJECTID,STATUS,ORIG_PERMIT,CURRENT_PERMITNUM,CONSULTNUM,X_COORD,Y_COORD,BORE_DEPTH,BORE_DIAMETER,SCREEN_INTERVAL,WELL_TYPE_VALUE,WELL_PURPOSE_VALUE,GlobalID,CASING_DEPTH,CASING_DIAMETER,WELL_NBR,WATER_SYSTEM_NAME
-121.832985857671,37.347744059707,20296,Destroyed,02W00538,D20160607006,EW-3,6174203.0,1951848.0,21.0,,,Water Production,Municipal,9610d5b4-0585-4743-b4e8-076c4c5c6789,,4.0,07S01E02P033,SAN JOSE WATER
-121.832948765334,37.3475934098144,20299,Destroyed,02W00539,D20160607007,EW-4,6174213.0,1951793.0,21.0,,,Water Production,Municipal,4828b838-2c14-4fd6-9290-09b77fdc9dd1,,4.0,07S01E02P034,SAN JOSE WATER
-122.102054358493,37.4036120573431,20326,Destroyed,01W00257,D20150804003,DP-3,6096347.0,1973413.0,30.0,,,Water Production,Municipal,7872d554-0140-4b7b-a9d2-12bd690f3236,,4.0,06S02W17Q127,CITY OF MOUNTAIN VIEW
-122.102259159106,37.4036889192024,20329,Destroyed,01W00256,D20150804002,DP-2,6096288.0,1973442.0,30.0,,,Water Production,Municipal,f6ce5222-d023-4598-8ed7-22e9a00cff01,,4.0,06S02W17Q128,CITY OF MOUNTAIN VIEW
-122.106645655096,37.4041115367084,20351,Destroyed,,94D0362,E-1,6095017.0,1973618.0,0.0,,,Water Production,Municipal,1324f061-a2ed-4bb9-85bd-d044c4e30fff,,0.0,06S02W17P002,CITY OF MOUNTAIN VIEW
-122.061997721796,37.4011723184846,20354,Destroyed,95W00561,96D00592,DW7-302,6107966.0,1972328.0,511.0,,,Water Production,Municipal,e25d9f39-c1c5-47ad-80aa-0391de7118bf,,6.0,06S02W22A027,CITY OF MOUNTAIN VIEW
-122.060651935905,37.3923182553023,20357,Destroyed,94W0999,97D00510,EX-2A,6108303.0,1969098.0,0.0,,,Water Production,Municipal,23ee1296-f795-4683-a6d5-ab93e6302be7,,0.0,06S02W22R004,CITY OF MOUNTAIN VIEW
-122.056811725202,37.3987228566814,20360,Destroyed,87W1612,01D00069,RW-15A,6109457.0,1971411.0,37.0,,,Water Production,Municipal,bccd4d00-d5e7-4ab9-a78c-9c5263c826a5,,8.0,06S02W23E017,CITY OF MOUNTAIN VIEW
-122.057628293796,37.3980670714911,20363,Destroyed,87W1611,96D00672,RW-13A,6109216.0,1971177.0,41.0,,,Water Production,Municipal,a8ff29dc-2b3c-4fce-8cd6-4bfbd80a028c,,8.0,06S02W23E015,CITY OF MOUNTAIN VIEW
-121.905763637575,37.3570734376198,20559,Other - Active,01W00367,D20150220010,EW-5,6153101.0,1955554.0,28.0,,,Water Production,Municipal,fb2a41ee-e969-40a8-bc61-5621e87910b5,,4.0,07S01E06C045,SAN JOSE WATER
-122.113831663533,37.4154214429038,20622,Destroyed,,96D00312,MEADOWS,6093001.0,1977771.0,0.0,,,Water Production,Municipal,ceeb6633-52c4-449b-918b-df8f94dd2fe2,,0.0,06S02W17D010,CITY OF PALO ALTO
-122.025939757719,37.3891757148148,20663,Destroyed,00W01288,D20150420020,TSG-RW-21,6118367.0,1967788.0,35.0,,,Water Production,Municipal,a7e0af1e-7dca-4468-9529-222531072f32,,1.0,06S02W24R021,CITY OF SUNNYVALE
-122.103815319656,37.3850854342198,20690,Abandoned,,, ,6095720.0,1966677.0,0.0,,,Water Production,Municipal,c79d890e-d907-4cc3-adf0-01a2a5abf9ae,,0.0,06S02W29B001,CWSC LOS ALTOS SUBURBAN
-122.026229691672,37.3887077275728,20695,Destroyed,89W1443,D20150420015,RW-1,6118280.0,1967619.0,30.0,,,Water Production,Municipal,5e8c6c78-acb0-4265-89c8-6d0eb9a76d41,,4.0,06S02W25A001,CITY OF SUNNYVALE
-121.647500195161,37.1217437452925,20786,Destroyed,01W00693,D20150505048,TSG-MW-28B,6227107.0,1868852.0,60.0,,,Water Production,Municipal,a587d1a3-5191-480e-a269-8b44f18e330a,,4.0,09S03E28F038,CITY OF MORGAN HILL
-121.842117171448,37.3589556816242,20877,Destroyed,02W00119,14D00237,EW-7,6171607.0,1955968.0,0.0,,,Water Production,Municipal,3fc7d727-217b-432d-8a50-18c161e1199a,,4.0,07S01E03A036,SAN JOSE WATER
-122.087465519751,37.3730100509767,20889,Destroyed,02W00074,12D00234,MW1,6100395.0,1962200.0,0.0,,,Water Production,Municipal,2a6daf83-d289-4fa6-9c89-3f68dfb72b41,,4.0,06S02W33C004,CITY OF MOUNTAIN VIEW
-121.871891919575,37.3224753432076,20901,Destroyed,02W00084,14D01295,STMW-10,6162760.0,1942812.0,20.0,,,Water Production,Municipal,da708e17-9560-4553-b426-1a98a1720b8e,,6.0,07S01E16L014,SAN JOSE WATER
-121.872152651993,37.3224393295436,20905,Destroyed,02W00086,14D01308,STMW-12,6162684.0,1942800.0,20.0,,,Water Production,Municipal,d2138071-14f2-4747-8949-594190de9dbd,,6.0,07S01E16L013,SAN JOSE WATER
-121.902906948259,37.2533054115095,20928,Destroyed,01W00596,08D00186,4921/EW-1,6153365.0,1917764.0,66.0,,,Water Production,Municipal,93dbdf1b-cbb9-403c-8797-49dd426de542,,4.0,08S01E07G007,SAN JOSE WATER
-121.903028075295,37.2532989640891,20932,Destroyed,01W00598,07D00308,4921/EW-3,6153330.0,1917762.0,61.0,,,Water Production,Municipal,a5e5e1e4-59c1-423c-9ea7-9eed5e8ab61c,,4.0,08S01E07G009,SAN JOSE WATER
-122.014565822293,37.3663467215045,20935,Destroyed,02W00218,10D00013,EX-1,6121536.0,1959423.0,35.0,,,Water Production,Municipal,5db054d7-463c-4be1-bd92-6cf6b3868a08,,4.0,06S01W31L016,CITY OF SUNNYVALE
-122.014443028882,37.3663167996384,20939,Destroyed,02W00222,10D00009,EX-5,6121572.0,1959412.0,35.0,,,Water Production,Municipal,b07ab652-656b-434b-91df-f33168a3d565,,4.0,06S01W31L018,CITY OF SUNNYVALE
-121.867405759098,37.2279701559179,20954,Water Supply - Active,03W00061,03W00061,2,6163562.0,1908387.0,80.0,,,Water Production,Municipal,5213cdb7-61e6-484f-9598-a9df08312697,80.0,16.0,08S01E21B001,SAN JOSE WATER
-121.943806165167,37.3384153522478,21055,Destroyed,,03D00749, ,6141941.0,1948930.0,0.0,,,Water Production,Municipal,e1fa6f90-7f80-43e2-acb2-9555da5bd4f7,,0.0,07S01W11F002,CITY OF SANTA CLARA
-121.842391198034,37.2772070504492,21075,Destroyed,02W00287,D20150220011,E-6,6171101.0,1926207.0,35.0,,,Water Production,Municipal,ad80c3ac-0bbe-44b6-8387-e94460f7bdbb,,4.0,07S01E34J033,SAN JOSE WATER
-122.038930561843,37.3821801093586,21077,Abandoned,,, ,6114552.0,1965303.0,0.0,,,Water Production,Municipal,c2677f64-0e4e-41ac-960a-e9a84219ab77,,0.0,06S02W25E002,CITY OF SUNNYVALE
